,label,full_text
5,1,t_madison_x shit blow claim faithful somebody still fucking hoe
6,1,__brighterdays sit hate another bitch got much shit going
7,1,selfiequeenbri cause tired big bitch coming u skinny girl
8,1,amp might get ya bitch back amp thats
9,1,rhythmixx_ hobby include fighting mariam bitch
10,1,keeks bitch curve everyone lol walked conversation like smh
11,1,murda gang bitch gang land
12,1,hoe smoke loser yea go ig
13,1,bad bitch thing like
14,1,bitch get
15,1,bitch nigga miss
16,1,bitch plz whatever
17,1,bitch love
18,1,bitch get cut everyday b
19,1,black bottle amp bad bitch
20,1,broke bitch cant tell nothing
21,1,cancel bitch like nino
22,1,cant see hoe wont change
23,1,fuck bitch dont even suck dick kermit video bout fuck ig
24,1,got ya bitch tip toeing hardwood floor http co cou wq l q
25,1,pussy lip like heaven door
26,1,hoe hitting
27,1,met pussy ocean dr gave pussy pill
28,1,need trippy bitch fuck hennessy
29,1,spend money want bitch business
30,1,txt old bitch new bitch pussy wetter
31,1,say im back old old bitch would get excited
32,1,aint bout murder game pussy nigga shut
33,1,toe done pussy stink
34,1,im done bitter bitch wrap angry bird app
35,1,ya bitch
36,1,aint nothing cut bitch
37,1,jus meet son ya mane bitch shot
38,1,lame cry hoe thats tear clown
39,1,like snoop said dont love hoe
40,0,momma said pussy cat inside doghouse
41,1,hated hoe favorite mw sevenone http co bmdsvmc rc
42,1,nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick http co bzrdl kf u
43,1,pimp pimp hoe future voice
44,1,post picture pussy get like
45,1,pussy powerful drug happyhumpday http co r jsymib b
46,1,quick piece pussy call drive
47,1,running round like brand new pussy thats bout get fucked
48,1,bitch even worst send guy
49,1,hoe like nigga spend money talk bout
50,1,dont trust nigga bitch
51,1,yall nigga b cuffing hoe cause yall aint never bitch
52,1,dodge bullet darealkha da bitch cut pregnant bound thank god
53,1,young pill chamberlain bitch love music
54,1,vandalsavage_ teanna trump probably cleaner twitter hoe
55,1,dahomiefuzz gay nigga wait act like bitch tonight
